Lista de Suajes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,21-06-24 Rev: 81,,
,N°,Dientes,Suaje Nº,Ubicación,Ancho,x,Largo,Cinta,G/L,G/S,P,D,Figura,ML/millar,Area/millar,Material,Comentarios,Proveedor,Fecha/alta
,,76,M-910-218,,"18,0",*,"31,0",242,"3,0","3,5",11,7,Figura,"3,134","0,76",BB07,Mastronardi Produce,Rotometrics,5/6/2017
,,76,M-910-436,,"18,0",*,"31,0",242,"3,0","3,5",11,7,Figura,"3,134","0,76",CS28,Mastronardi Produce,Rotometrics,26/1/2024
,,66,M-910-224,,"18,0",*,"32,0",242,"3,0","2,9",11,6,Rectángulo,"3,175","0,77",PH04,Importadora y Manufacturera Bruluart,Rotometrics,5/6/2017
,336,48,830-342,E-30,"18,0",*,"35,0",116,3,"3,0",5,4,Rectángulo,"7,600","0,88",,,,17/7/2000
,,96,M-910-089,,"18,0",*,"35,0",242,"3,0","3,1",11,8,Rectángulo,"3,464","0,84",CS01,Mainland Farms,Rotometrics,8/11/2013
,,72,M-910-158,,"18,0",*,"42,2",242,"3,0","3,5",11,5,Rectángulo,"4,156","1,01",PH01,Laboratorios Pisa,Rotometrics,10/2/2015
,,75,M-910-216,,"18,0",*,"77,0",242,"3,0","2,8",11,3,Rectángulo,"7,252","1,76",CS01,Productos Farmaceuticos Collins,Rotometrics,5/6/2017
,,54,910-455,,"18,0",*,"83,0",242,3,"3,2",11,2,Rectángulo,"7,834","1,90",,"Bruluagsa, S.A. de C.V.",AW,9/4/2009
,,60,830-857,,"19,0",*,"6,4",83,5,"3,2",3,20,Rectángulo,"3,175","0,26",KP05,Orora Busines Service Center,AW,11/7/2023
,592,47,830-612,F-159,"19,0",*,"12,0",143,3,"3,0",6,10,Figura,"2,500","0,36",,,,29/6/2004
,,50,830-800,,"19,0",*,"13,0",143,3,"3,2",6,10,Rectángulo,"2,696","0,39",,Naturesweet Invernaderos,AW,7/10/2011
,,65,M-830-050,,"19,0",*,"13,0",99,3,"3,2",4,13,Rectángulo,"4,044","0,40",DF690 (Avery 13014),Altatec de Occidente,Rotometrics,19/7/2016
,,54,910-442,,"19,0",*,"17,0",240,4,"2,0",10,9,Ovalo especial (Sinclare) Usar con 910-443,"1,900","0,46",,Distribuidora de Vegetales de Mexico,AW,24/11/2008
,,54,910-443,,"19,0",*,"17,0",240,4,"2,0",10,9,Corte por debajo especial (Sinclare) Usar con 910-442,"1,900","0,46",,Distribuidora de Vegetales de Mexico,AW,24/11/2008
,2,48,830-002,A-2,"19,0",*,"19,0",119,"2,5","3,0",5,7,Circunferencia,"4,400","0,52",,,,
,,68,M-910-080,,"19,0",*,"24,0",253,3,"3,2",11,8,Figura mango,"2,470","0,63",CS01,Alejandro Araujo,Rotometrics,16/8/2013
,375,52,830-384,E-73,"19,0",*,"25,0",143,3,"2,5",6,6,Figura,"4,583","0,66",,Vasti (P/CS),,7/3/2003
,498,45,830-509,F-66,"19,0",*,"25,0",121,3,"3,0",5,5,Ovalo,"5,600","0,68",,Usar con 830-510,,27/5/2002
,670,54,830-694,F-233,"19,0",*,"25,0",166,"3,175","3,2",7,6,Ovalo,"4,025","0,67",,Ovalo para Fruta,AW,2/5/2006
,,80,M-910-141,,"19,0",*,"25,0",253,"3,0","3,2",11,9,Ovalo,"2,566","0,65",CS17,Agrícola el Rosal,Rotometrics,10/2/2015
,1156,90,M-910-013,,"19,0",*,"25,4",253,3,"3,2",11,10,Figura,"2,598","0,66",BB07,Comercializadora Zarattini,Rotometrics,2/1/2008
,,80,M-910-427,,"19,0",*,"29,0",256,"3,2","3,2",11,8,Ovalo,"2,925","0,75",PF02,Industrias Rochin,Rotometrics,11/7/2023
,,74,M-910-104,,"19,0",*,"44,0",187,"3,0","3,2",8,5,Rectángulo,"5,897","1,10",CS01,Embalajes Agricolas Sambramex,Rotometrics,13/3/2014
,82,42,830-070,A-106,"19,0",*,"64,0",119,"2,5","2,6",5,2,Rectángulo,"13,320","1,59",,,,
,,63,M-830-079,,"20,0",*,"12,4",172,3,"3,0",7,13,Rectángulo,"2,198","0,38",BB15,Altatec de Occidente,Rotometrics,14/12/2017
,526,45,830-540,F-94,"20,0",*,"13,0",126,3,"3,0",5,9,Figura,"3,200","0,40",,,,
,535,45,830-549,F-103,"20,0",*,"13,0",149,3,"3,0",6,9,Ovalo,"2,667","0,40",,,,15/1/2003
,496,81,830-506,F-64,"20,0",*,"20,0",0,0,"0,0",3,1,Rectángulo,"6,667","0,00",,Especial Usar con 830-440,,24/5/2002
,713,51,830-737,,"20,0",*,"20,0",103,3,"3,1",4,7,Cuadrado,"5,783","0,60",,Ma. Del Socorro Rosales Hernandez,AW,4/7/2007
,,72,M-3300-281,,"20,0",*,"20,0",333,3,"2,9",14,10,Cuadrado,"1,633","0,54",BT25,Barcel,Rotometrics,5/4/2021
,,72,M-910-334,,"20,0",*,"20,0",103,"3,0","2,9",4,10,Cuadrado,"5,715","0,59",BT25,Barcel,Rotometrics,5/4/2021
,,80,M-910-182,,"20,0",*,"25,0",241,"3,0","3,2",10,9,Rectángulo,"2,822","0,68",PH07,Laboratorios Pisa,Rotometrics,2/2/2016
,,55,910-478,,"20,0",*,"26,0",241,3,"3,2",10,6,Rectángulo,"2,918","0,70",,Laboratorios Pisa,AW,5/1/2010
,,72,M-910-298,,"20,0",*,"29,0",218,"3,0","3,7",9,7,Figura,"3,629","0,79",CS27,Crisp Greenhouses,Rotometrics,7/10/2019
,,68,M-910-100,,"20,0",*,"33,0",241,"3,0","3,0",10,6,Figura,"3,600","0,87",BB01,Comercializadora Gab,Rotometrics,13/3/2014
,,68,M-830-124,,"20,0",*,"40,0",172,3,"3,2",7,5,Figura,"6,169","1,06",BT07,Farmiral,Rotometrics,5/4/2021
,,72,M-910-152,,"20,0",*,"42,5",241,"3,0","3,2",10,5,Rectángulo,"4,572","1,10",PH01,Laboratorios Pisa,Rotometrics,10/2/2015
,,76,M-910-237,,"20,0",*,"45,0",241,"3,0","3,3",10,5,Rectángulo,"4,826","1,16",PH04,Laboratorios Pisa,Rotometrics,4/9/2017
,,66,M-910-149,,"20,0",*,"49,2",241,"3,0","3,2",10,4,Rectángulo,"5,239","1,26",PH01,Laboratorios Pisa,Rotometrics,10/2/2015
,,64,M-910-222,,"20,0",*,"65,0",241,"3,0","3,2",10,3,Rectángulo,"6,818","1,64",BT09,Laboratorios Pisa,Rotometrics,5/6/2017
